chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP,Agnostic
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,"RGB, CIR and CHM",0.226799148,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,RGB and CIR,0.226493104,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,CHM only,0.040829774,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,"RGB, CIR and CHM",0.27609898,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,RGB and CIR,0.267314935,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,CHM only,0.033382548,TRUE
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,"RGB, CIR and CHM",0.22946203,TRUE
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,RGB and CIR,0.053368591,TRUE
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,CHM only,0.021822146,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,41,exp1_2f5901760cbc4b4da574907913e9855e,"RGB, CIR and CHM",0.266944552,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,41,exp1_2f5901760cbc4b4da574907913e9855e,RGB and CIR,0.151369045,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,41,exp1_2f5901760cbc4b4da574907913e9855e,CHM only,0.216488856,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp1,79,exp1_14c04e9f1c9f4a28a405234314a53929,"RGB, CIR and CHM",0.22393483,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp1,79,exp1_14c04e9f1c9f4a28a405234314a53929,RGB and CIR,0.234826105,TRUE
