accumulate,lr,prefix,proba_drop_chm,proba_drop_rgb,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
12,0.006,exp2,0.0,0.0,exp2,65,exp2_df48d4687ab5429cae858adc979090b1,CHM only,0.0955148068140529
12,0.0025,exp1,0.1,0.1,exp1,67,exp1_faa46c63572b46b588194e18aa758700,"RGB, CIR and CHM",0.25791449754143797
12,0.0025,exp1,0.1,0.1,exp1,67,exp1_faa46c63572b46b588194e18aa758700,RGB and CIR,0.24520502709874914
12,0.0025,exp1,0.1,0.1,exp1,67,exp1_faa46c63572b46b588194e18aa758700,CHM only,0.19558140256093703
12,0.0025,exp2,0.333,0.333,exp2,95,exp2_a2ffce792b404b9286ca1bf8dd694129,"RGB, CIR and CHM",0.21809733959591437
12,0.0025,exp2,0.333,0.333,exp2,95,exp2_a2ffce792b404b9286ca1bf8dd694129,RGB and CIR,0.21884188161925566
12,0.0025,exp2,0.333,0.333,exp2,95,exp2_a2ffce792b404b9286ca1bf8dd694129,CHM only,0.08995942621331518
12,0.006,exp1,0.333,0.333,exp1,105,exp1_d05c950577a54f429d9c4539c9551373,"RGB, CIR and CHM",0.23309074279806807
12,0.006,exp1,0.333,0.333,exp1,105,exp1_d05c950577a54f429d9c4539c9551373,RGB and CIR,0.2634963342420425
12,0.006,exp1,0.333,0.333,exp1,105,exp1_d05c950577a54f429d9c4539c9551373,CHM only,0.12582591072357882
6,0.01,exp1,0.1,0.1,exp1,78,exp1_39037259024e4d228b043115c6d2d15b,"RGB, CIR and CHM",0.20607899619027212
6,0.01,exp1,0.1,0.1,exp1,78,exp1_39037259024e4d228b043115c6d2d15b,RGB and CIR,0.28405558378478307
6,0.01,exp1,0.1,0.1,exp1,78,exp1_39037259024e4d228b043115c6d2d15b,CHM only,0.12453106744455954
12,0.006,exp2,0.1,0.1,exp2,94,exp2_8cc912b4056440f1b25e8b08b1b57cc0,"RGB, CIR and CHM",0.12231415931859113
12,0.006,exp2,0.1,0.1,exp2,94,exp2_8cc912b4056440f1b25e8b08b1b57cc0,RGB and CIR,0.22943263276561604
12,0.006,exp2,0.1,0.1,exp2,94,exp2_8cc912b4056440f1b25e8b08b1b57cc0,CHM only,0.1037918181624742
6,0.01,exp1,0.333,0.333,exp1,83,exp1_0b3574521c354c61908c289e12eabc56,"RGB, CIR and CHM",0.22402760074514855
6,0.01,exp1,0.333,0.333,exp1,83,exp1_0b3574521c354c61908c289e12eabc56,RGB and CIR,0.2802827538007909
6,0.01,exp1,0.333,0.333,exp1,83,exp1_0b3574521c354c61908c289e12eabc56,CHM only,0.1413048532809787
6,0.01,exp1,0.0,0.0,exp1,81,exp1_667c2cc0431444f5ab78ac0745a6b5bd,"RGB, CIR and CHM",0.24913952489232088
6,0.01,exp1,0.0,0.0,exp1,81,exp1_667c2cc0431444f5ab78ac0745a6b5bd,RGB and CIR,0.07599120073180614
6,0.01,exp1,0.0,0.0,exp1,81,exp1_667c2cc0431444f5ab78ac0745a6b5bd,CHM only,0.10832266182681076
12,0.01,exp1,0.333,0.333,exp1,149,exp1_f00c65285d4c4fa398efed5043ccac52,"RGB, CIR and CHM",0.16282333455681758
12,0.01,exp1,0.333,0.333,exp1,149,exp1_f00c65285d4c4fa398efed5043ccac52,RGB and CIR,0.2639389770080709
12,0.01,exp1,0.333,0.333,exp1,149,exp1_f00c65285d4c4fa398efed5043ccac52,CHM only,0.09011416986721173
12,0.01,exp2,0.0,0.0,exp2,53,exp2_cc38f8d6e9f14e8ca8082539160d374c,"RGB, CIR and CHM",0.1409818329058863
12,0.01,exp2,0.0,0.0,exp2,53,exp2_cc38f8d6e9f14e8ca8082539160d374c,RGB and CIR,0.09207625188477825
12,0.01,exp2,0.0,0.0,exp2,53,exp2_cc38f8d6e9f14e8ca8082539160d374c,CHM only,0.09490292612002958
24,0.01,exp1,0.1,0.1,exp1,105,exp1_49cd735505e84a99a3dbfc092ba49587,"RGB, CIR and CHM",0.13222733856659913
24,0.01,exp1,0.1,0.1,exp1,105,exp1_49cd735505e84a99a3dbfc092ba49587,RGB and CIR,0.2518408773000477
24,0.01,exp1,0.1,0.1,exp1,105,exp1_49cd735505e84a99a3dbfc092ba49587,CHM only,0.09351630551585942
12,0.01,exp2,0.333,0.333,exp2,98,exp2_d6bae751451045c582b1a2c1f816da31,"RGB, CIR and CHM",0.09979835698694549
12,0.01,exp2,0.333,0.333,exp2,98,exp2_d6bae751451045c582b1a2c1f816da31,RGB and CIR,0.2272890000805894
12,0.01,exp2,0.333,0.333,exp2,98,exp2_d6bae751451045c582b1a2c1f816da31,CHM only,0.08416680902567929
12,0.0025,exp2,0.1,0.1,exp2,69,exp2_ae0e3c60209e407eb1057e43f6a6003a,"RGB, CIR and CHM",0.2535371994199336
12,0.0025,exp2,0.1,0.1,exp2,69,exp2_ae0e3c60209e407eb1057e43f6a6003a,RGB and CIR,0.2202809618179032
12,0.0025,exp2,0.1,0.1,exp2,69,exp2_ae0e3c60209e407eb1057e43f6a6003a,CHM only,0.18087885249716618
24,0.006,exp2,0.333,0.333,exp2,140,exp2_0d98cdffae95434e82f71a96d6802afa,"RGB, CIR and CHM",0.2636324449632086
24,0.006,exp2,0.333,0.333,exp2,140,exp2_0d98cdffae95434e82f71a96d6802afa,RGB and CIR,0.24799903068111065
24,0.006,exp2,0.333,0.333,exp2,140,exp2_0d98cdffae95434e82f71a96d6802afa,CHM only,0.1593677587872282
6,0.0025,exp2,0.0,0.0,exp2,33,exp2_1d9893a10436488d8b8e50d35242551b,"RGB, CIR and CHM",0.24662312467302755
6,0.0025,exp2,0.0,0.0,exp2,33,exp2_1d9893a10436488d8b8e50d35242551b,RGB and CIR,0.08126274762214163
6,0.0025,exp2,0.0,0.0,exp2,33,exp2_1d9893a10436488d8b8e50d35242551b,CHM only,0.13560357408183468
6,0.0025,exp1,0.333,0.333,exp1,59,exp1_5211496a7a874ae4967a21b77c0e4ae9,"RGB, CIR and CHM",0.1269839443744506
6,0.0025,exp1,0.333,0.333,exp1,59,exp1_5211496a7a874ae4967a21b77c0e4ae9,RGB and CIR,0.26315454044266157
6,0.0025,exp1,0.333,0.333,exp1,59,exp1_5211496a7a874ae4967a21b77c0e4ae9,CHM only,0.08876588889741056
12,0.006,exp1,0.0,0.0,exp1,53,exp1_2f14094a9095480ba729b3ecd9cc76e9,"RGB, CIR and CHM",0.22272195140334958
12,0.006,exp1,0.0,0.0,exp1,53,exp1_2f14094a9095480ba729b3ecd9cc76e9,RGB and CIR,0.1024762456660162
12,0.006,exp1,0.0,0.0,exp1,53,exp1_2f14094a9095480ba729b3ecd9cc76e9,CHM only,0.12368806848520496
24,0.006,exp2,0.0,0.0,exp2,73,exp2_6edca8d90e844d0190a7d5c42164c009,"RGB, CIR and CHM",0.25674710631416114
24,0.006,exp2,0.0,0.0,exp2,73,exp2_6edca8d90e844d0190a7d5c42164c009,RGB and CIR,0.15089874103910714
24,0.006,exp2,0.0,0.0,exp2,73,exp2_6edca8d90e844d0190a7d5c42164c009,CHM only,0.1078532874141135
24,0.01,exp2,0.1,0.1,exp2,85,exp2_22911f1ea4b44fbf95afe83e5f09dec1,"RGB, CIR and CHM",0.1810800250438672
24,0.01,exp2,0.1,0.1,exp2,85,exp2_22911f1ea4b44fbf95afe83e5f09dec1,RGB and CIR,0.1924539874429023
24,0.01,exp2,0.1,0.1,exp2,85,exp2_22911f1ea4b44fbf95afe83e5f09dec1,CHM only,0.10112338299130812
6,0.006,exp2,0.333,0.333,exp2,91,exp2_9c49e9566f8e44d8afffd58cbe0b318d,"RGB, CIR and CHM",0.18839361283730596
6,0.006,exp2,0.333,0.333,exp2,91,exp2_9c49e9566f8e44d8afffd58cbe0b318d,RGB and CIR,0.23474333855850185
6,0.006,exp2,0.333,0.333,exp2,91,exp2_9c49e9566f8e44d8afffd58cbe0b318d,CHM only,0.09621632124501814
6,0.006,exp1,0.1,0.1,exp1,76,exp1_3f4a5318d3e14a249871b24fb90624a0,"RGB, CIR and CHM",0.16700809951862675
6,0.006,exp1,0.1,0.1,exp1,76,exp1_3f4a5318d3e14a249871b24fb90624a0,RGB and CIR,0.2615877350308027
6,0.006,exp1,0.1,0.1,exp1,76,exp1_3f4a5318d3e14a249871b24fb90624a0,CHM only,0.10029679580564281
6,0.006,exp1,0.333,0.333,exp1,116,exp1_cdaf60b8add64e11b7ef83d551752ca6,"RGB, CIR and CHM",0.19752309756211145
6,0.006,exp1,0.333,0.333,exp1,116,exp1_cdaf60b8add64e11b7ef83d551752ca6,RGB and CIR,0.2779646563080482
6,0.006,exp1,0.333,0.333,exp1,116,exp1_cdaf60b8add64e11b7ef83d551752ca6,CHM only,0.10715694231691919
24,0.0025,exp1,0.333,0.333,exp1,119,exp1_86c5fd13f31543faadbefa3fe7b9fdf5,"RGB, CIR and CHM",0.211258015181011
24,0.0025,exp1,0.333,0.333,exp1,119,exp1_86c5fd13f31543faadbefa3fe7b9fdf5,RGB and CIR,0.19566660256547133
24,0.0025,exp1,0.333,0.333,exp1,119,exp1_86c5fd13f31543faadbefa3fe7b9fdf5,CHM only,0.20970822727903166
6,0.0025,exp2,0.1,0.1,exp2,83,exp2_0235a9e19ca944d69f9ec11e31bf69d5,"RGB, CIR and CHM",0.25415247064503926
6,0.0025,exp2,0.1,0.1,exp2,83,exp2_0235a9e19ca944d69f9ec11e31bf69d5,RGB and CIR,0.19852117212732331
6,0.0025,exp2,0.1,0.1,exp2,83,exp2_0235a9e19ca944d69f9ec11e31bf69d5,CHM only,0.1916864563040572
12,0.0025,exp1,0.333,0.333,exp1,76,exp1_60a4c0456b294be895e40cb7dfd4c2d3,"RGB, CIR and CHM",0.2511503854907583
12,0.0025,exp1,0.333,0.333,exp1,76,exp1_60a4c0456b294be895e40cb7dfd4c2d3,RGB and CIR,0.22827531464309542
12,0.0025,exp1,0.333,0.333,exp1,76,exp1_60a4c0456b294be895e40cb7dfd4c2d3,CHM only,0.18703750294589702
12,0.01,exp1,0.0,0.0,exp1,63,exp1_014948f5b3874ffd8fa7d7f4476828cc,"RGB, CIR and CHM",0.31134536236196375
12,0.01,exp1,0.0,0.0,exp1,63,exp1_014948f5b3874ffd8fa7d7f4476828cc,RGB and CIR,0.16112504801779387
12,0.01,exp1,0.0,0.0,exp1,63,exp1_014948f5b3874ffd8fa7d7f4476828cc,CHM only,0.1857842349802724
6,0.01,exp2,0.1,0.1,exp2,82,exp2_273324e694374d95a99749b375f20613,"RGB, CIR and CHM",0.1884802755155612
6,0.01,exp2,0.1,0.1,exp2,82,exp2_273324e694374d95a99749b375f20613,RGB and CIR,0.026622480770099387
6,0.01,exp2,0.1,0.1,exp2,82,exp2_273324e694374d95a99749b375f20613,CHM only,0.10129459349403959
24,0.01,exp1,0.333,0.333,exp1,115,exp1_6ae7a527637842c0affd2e1a447fab75,"RGB, CIR and CHM",0.1486200200650437
24,0.01,exp1,0.333,0.333,exp1,115,exp1_6ae7a527637842c0affd2e1a447fab75,RGB and CIR,0.2660406648348926
24,0.01,exp1,0.333,0.333,exp1,115,exp1_6ae7a527637842c0affd2e1a447fab75,CHM only,0.08703228254049244
6,0.0025,exp2,0.333,0.333,exp2,85,exp2_cf6ec0fa7e404f0b98c2b03bdfeaac19,"RGB, CIR and CHM",0.27006793689904424
6,0.0025,exp2,0.333,0.333,exp2,85,exp2_cf6ec0fa7e404f0b98c2b03bdfeaac19,RGB and CIR,0.23431090303337893
